epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.50597,1.67686,5.04456,1.26245,0.00097,0.06357,0.00123,0.00034,1.33505,4.08556,1.036,9.996e-05,9.996e-05,9.996e-05
2,7.79924,1.54757,4.61986,1.13589,0.00908,0.27784,0.03268,0.00735,1.65608,4.02849,1.09104,0.000206876,0.000206876,0.000206876
3,10.0946,1.40765,4.16574,1.06448,0.00471,0.30489,0.01032,0.00272,1.02683,4.01885,0.90427,0.000312362,0.000312362,0.000312362
4,12.1537,1.37752,3.62765,1.05291,0.00633,0.59581,0.14622,0.07855,1.00431,3.86531,0.88689,0.000416418,0.000416418,0.000416418
5,14.2997,1.35261,3.31285,1.04352,0.01007,0.79654,0.19004,0.11034,1.01693,3.5133,0.91407,0.000519046,0.000519046,0.000519046
6,16.1996,1.41023,3.06215,1.07273,0.80128,0.0955,0.31427,0.19636,1.10924,3.19497,0.94198,0.000620243,0.000620243,0.000620243
7,18.2459,1.27577,2.76224,1.00093,0.47339,0.13245,0.33885,0.24327,1.08868,2.88925,0.93686,0.000720012,0.000720012,0.000720012
8,20.1811,1.27824,2.53354,1.0277,0.42396,0.18021,0.3316,0.23449,1.1584,2.81013,0.97852,0.000794515,0.000794515,0.000794515
9,22.0557,1.24841,2.32756,1.02367,0.26887,0.39095,0.33397,0.19582,1.32592,2.46227,1.05488,0.000789018,0.000789018,0.000789018
10,24.1792,1.25995,2.35682,1.00872,0.25773,0.23527,0.29861,0.19466,1.26364,2.48462,1.02793,0.00078352,0.00078352,0.00078352
11,26.4631,1.25596,2.23191,1.03549,0.39276,0.33357,0.38377,0.26025,1.18882,2.16573,1.04154,0.000778022,0.000778022,0.000778022
12,28.512,1.21202,2.12875,1.01623,0.36199,0.62456,0.4372,0.30296,1.19932,1.67001,1.03526,0.000772524,0.000772524,0.000772524
13,30.3905,1.14717,2.04016,0.98148,0.40352,0.53583,0.45273,0.32571,1.07996,1.54211,1.01668,0.000767026,0.000767026,0.000767026
14,32.3268,1.20011,1.96541,1.00733,0.39419,0.48397,0.45407,0.30407,1.17867,1.53099,1.0648,0.000761529,0.000761529,0.000761529
15,34.3899,1.19262,2.04005,0.98579,0.46272,0.53666,0.50196,0.33626,1.13008,1.46989,1.03706,0.000756031,0.000756031,0.000756031
16,36.3846,1.14819,1.80877,0.99192,0.45981,0.67218,0.5087,0.34643,1.09654,1.41313,1.02921,0.000750533,0.000750533,0.000750533
17,38.4387,1.15181,1.8217,0.99632,0.47399,0.74861,0.52674,0.36641,1.03841,1.29197,0.99389,0.000745035,0.000745035,0.000745035
18,40.4279,1.20191,1.78367,0.99518,0.47465,0.74201,0.54018,0.37318,1.01394,1.32287,0.99613,0.000739537,0.000739537,0.000739537
19,42.2903,1.15186,1.72692,0.97038,0.67307,0.62638,0.56462,0.40872,1.05627,1.33896,1.01608,0.00073404,0.00073404,0.00073404
20,44.1981,1.11179,1.66194,0.9716,0.57661,0.76438,0.75612,0.55039,0.98404,1.17762,0.98192,0.000728542,0.000728542,0.000728542
21,46.099,1.08458,1.50431,0.97828,0.61795,0.75139,0.7532,0.55879,0.96045,1.08592,0.97104,0.000723044,0.000723044,0.000723044
22,48.0648,1.07187,1.47852,0.98305,0.73763,0.7063,0.75956,0.561,1.00047,1.06159,0.97533,0.000717546,0.000717546,0.000717546
23,49.9542,1.11399,1.47676,0.97391,0.83151,0.69741,0.76281,0.57489,0.98037,1.026,0.95874,0.000712048,0.000712048,0.000712048
24,51.7816,1.10563,1.39983,0.94081,0.73069,0.75758,0.77911,0.56253,1.02006,1.03008,0.96992,0.000706551,0.000706551,0.000706551
25,53.604,1.02882,1.44964,0.9238,0.79252,0.73052,0.75159,0.54639,0.95704,1.01204,0.94819,0.000701053,0.000701053,0.000701053
26,55.5108,1.00982,1.33027,0.92784,0.81556,0.70098,0.73292,0.53219,0.96545,1.06637,0.95157,0.000695555,0.000695555,0.000695555
27,57.3221,1.0405,1.37934,0.94427,0.79061,0.74229,0.77141,0.56279,0.9945,0.92101,0.96571,0.000690057,0.000690057,0.000690057
28,59.055,0.98627,1.3236,0.94153,0.80515,0.74178,0.77214,0.56411,0.99376,0.92782,0.96441,0.000684559,0.000684559,0.000684559
29,60.9882,1.01905,1.28041,0.93134,0.76954,0.78139,0.77475,0.55904,0.9912,0.9184,0.96605,0.000679062,0.000679062,0.000679062
30,62.8367,1.04444,1.27829,0.96579,0.74717,0.71861,0.77628,0.5697,0.96908,0.925,0.97358,0.000673564,0.000673564,0.000673564
31,64.7544,1.00987,1.2613,0.92827,0.76498,0.74584,0.7624,0.54234,0.94651,0.87007,0.96456,0.000668066,0.000668066,0.000668066
32,66.6058,0.97812,1.24532,0.95247,0.82175,0.72252,0.77515,0.5615,0.93009,0.84472,0.96566,0.000662568,0.000662568,0.000662568
33,68.4881,0.99006,1.23357,0.94237,0.79696,0.77056,0.76962,0.55696,0.95465,0.86444,0.97,0.00065707,0.00065707,0.00065707
34,70.3088,0.99001,1.13348,0.94231,0.83071,0.75679,0.76675,0.5575,0.92473,0.86041,0.95783,0.000651573,0.000651573,0.000651573
35,72.2431,1.01395,1.20844,0.94151,0.90677,0.76792,0.82432,0.62508,0.89413,0.82195,0.94287,0.000646075,0.000646075,0.000646075
36,74.0628,0.90316,1.12488,0.92319,0.92241,0.77728,0.85763,0.59526,0.97066,0.77573,0.96786,0.000640577,0.000640577,0.000640577
37,75.7788,0.9663,1.11561,0.9428,0.88975,0.7741,0.83577,0.5834,0.97871,0.78966,0.96921,0.000635079,0.000635079,0.000635079
38,77.7229,0.95091,1.13006,0.93614,0.806,0.78355,0.79052,0.58223,0.96248,0.8348,0.97841,0.000629581,0.000629581,0.000629581
39,79.5513,0.9599,1.07373,0.93229,0.75775,0.79654,0.8054,0.58742,1.00562,0.83231,0.99571,0.000624084,0.000624084,0.000624084
40,81.3712,0.91925,1.05609,0.90989,0.7753,0.79654,0.84647,0.61076,0.99346,0.79298,0.97633,0.000618586,0.000618586,0.000618586
41,83.3487,0.92814,1.09741,0.91649,0.81658,0.87615,0.8724,0.63277,0.9412,0.7594,0.97334,0.000613088,0.000613088,0.000613088
42,85.2105,0.96956,1.06622,0.93942,0.84033,0.8658,0.87291,0.62491,0.93239,0.73711,0.96984,0.00060759,0.00060759,0.00060759
43,87.1968,0.92579,0.99769,0.9079,0.96868,0.72965,0.91022,0.62907,0.92294,0.72331,0.96593,0.000602092,0.000602092,0.000602092
44,89.1035,0.9115,1.05644,0.92664,0.62384,0.87879,0.82395,0.6125,0.94863,0.74755,0.98032,0.000596595,0.000596595,0.000596595
45,91.0075,0.88742,1.01467,0.89879,0.69671,0.80588,0.79511,0.5992,0.9528,0.77341,0.98001,0.000591097,0.000591097,0.000591097
46,92.9264,0.91427,1.03637,0.89359,0.90457,0.76758,0.8187,0.6207,0.98308,0.75321,0.98655,0.000585599,0.000585599,0.000585599
47,94.8113,0.88493,0.9545,0.90518,0.86965,0.75379,0.8558,0.62325,0.99753,0.74837,0.99167,0.000580101,0.000580101,0.000580101
48,96.6468,0.90234,0.95045,0.89862,0.87992,0.76503,0.84541,0.62202,0.95291,0.72977,0.97737,0.000574603,0.000574603,0.000574603
49,98.612,0.90768,1.02628,0.9227,0.81484,0.77924,0.80818,0.6087,0.91855,0.71804,0.96565,0.000569106,0.000569106,0.000569106
50,100.373,0.88033,1.02558,0.90482,0.81765,0.77042,0.8021,0.59966,0.92781,0.75355,0.97031,0.000563608,0.000563608,0.000563608
51,102.192,0.93415,1.03616,0.92679,0.92364,0.67771,0.83274,0.63989,0.95209,0.75944,0.97558,0.00055811,0.00055811,0.00055811
52,104.128,0.89033,0.98401,0.89461,0.8862,0.8501,0.92673,0.69958,0.92984,0.6903,0.95556,0.000552612,0.000552612,0.000552612
53,106.078,0.88977,0.98794,0.90562,0.87568,0.8661,0.93064,0.69238,0.93895,0.68756,0.96021,0.000547114,0.000547114,0.000547114
54,108.039,0.91639,0.95055,0.90222,0.90879,0.83479,0.93503,0.69328,0.93129,0.6759,0.95721,0.000541617,0.000541617,0.000541617
55,110.047,0.8796,0.96277,0.91087,0.89185,0.81139,0.89556,0.67752,0.92524,0.65188,0.95149,0.000536119,0.000536119,0.000536119
56,111.86,0.86991,0.98643,0.90973,0.88254,0.76501,0.9219,0.69177,0.94261,0.66154,0.95018,0.000530621,0.000530621,0.000530621
57,113.86,0.86208,0.9502,0.90219,0.91678,0.74599,0.92202,0.67695,0.94266,0.6772,0.9477,0.000525123,0.000525123,0.000525123
58,115.911,0.83227,0.9061,0.89638,0.86202,0.75985,0.89491,0.64121,0.94086,0.68211,0.94647,0.000519625,0.000519625,0.000519625
59,118.075,0.85469,0.88807,0.89239,0.87046,0.78139,0.86015,0.60375,0.95286,0.67792,0.95917,0.000514128,0.000514128,0.000514128
60,120.195,0.89057,0.92544,0.91785,0.87191,0.75731,0.8475,0.61029,0.93633,0.68206,0.94798,0.00050863,0.00050863,0.00050863
61,122.18,0.8565,0.85591,0.89399,0.87213,0.76327,0.88416,0.64739,0.93354,0.68454,0.94597,0.000503132,0.000503132,0.000503132
62,124.167,0.82942,0.88819,0.89283,0.84747,0.84831,0.87852,0.62451,0.95961,0.67321,0.95298,0.000497634,0.000497634,0.000497634
63,126.243,0.86307,0.86543,0.88468,0.92867,0.77537,0.88885,0.67272,0.9195,0.66989,0.93843,0.000492136,0.000492136,0.000492136
64,128.269,0.84554,0.88156,0.89585,0.90359,0.80221,0.89469,0.67927,0.90159,0.6656,0.93982,0.000486639,0.000486639,0.000486639
65,130.389,0.84832,0.85989,0.89864,0.71805,0.93817,0.91413,0.69255,0.93002,0.68678,0.95226,0.000481141,0.000481141,0.000481141
66,132.365,0.851,0.87754,0.891,0.7693,0.91962,0.91704,0.66864,0.94275,0.69471,0.94682,0.000475643,0.000475643,0.000475643
67,134.311,0.8088,0.85592,0.88016,0.72528,0.88297,0.90315,0.66478,0.91294,0.658,0.93387,0.000470145,0.000470145,0.000470145
68,136.309,0.82773,0.87087,0.88689,0.92618,0.79354,0.83135,0.62519,0.90144,0.68255,0.94513,0.000464647,0.000464647,0.000464647
69,138.149,0.81796,0.81421,0.89597,0.94878,0.75987,0.81658,0.61557,0.92101,0.69625,0.954,0.00045915,0.00045915,0.00045915
70,140.094,0.80357,0.83606,0.88069,0.9311,0.77212,0.8466,0.60661,0.96954,0.68489,0.96714,0.000453652,0.000453652,0.000453652
71,142.151,0.80831,0.83324,0.89133,0.89339,0.80145,0.86266,0.62348,0.97529,0.68285,0.96845,0.000448154,0.000448154,0.000448154
72,144.06,0.82179,0.81106,0.88959,0.85057,0.82035,0.86136,0.62605,0.98326,0.68506,0.97803,0.000442656,0.000442656,0.000442656
73,146.15,0.8457,0.79992,0.88251,0.84857,0.80645,0.8391,0.61034,0.95911,0.69147,0.9782,0.000437158,0.000437158,0.000437158
74,147.947,0.83903,0.8506,0.90295,0.86934,0.77581,0.80988,0.57502,0.97843,0.72286,0.98702,0.000431661,0.000431661,0.000431661
75,149.895,0.7942,0.83155,0.88905,0.84753,0.75345,0.76934,0.5675,0.95107,0.71464,0.96952,0.000426163,0.000426163,0.000426163
76,151.814,0.81969,0.80245,0.87743,0.85677,0.80736,0.8997,0.6528,0.92995,0.69119,0.94992,0.000420665,0.000420665,0.000420665
77,153.632,0.79041,0.8116,0.89118,0.87452,0.79753,0.91227,0.66597,0.92596,0.70834,0.94503,0.000415167,0.000415167,0.000415167
78,155.558,0.77503,0.76796,0.86611,0.89773,0.78442,0.92519,0.64154,0.92754,0.72998,0.94928,0.000409669,0.000409669,0.000409669
79,157.487,0.77432,0.80296,0.87519,0.77176,0.89761,0.90875,0.64349,0.96715,0.68124,0.96389,0.000404172,0.000404172,0.000404172
80,159.313,0.78828,0.75991,0.88241,0.78171,0.90157,0.911,0.64756,0.96345,0.66671,0.95761,0.000398674,0.000398674,0.000398674
81,161.173,0.82039,0.76381,0.87528,0.83752,0.91532,0.92386,0.65627,0.96026,0.65511,0.95205,0.000393176,0.000393176,0.000393176
82,163.08,0.80364,0.75984,0.89581,0.82311,0.92849,0.92443,0.64494,0.96021,0.66226,0.95123,0.000387678,0.000387678,0.000387678
83,165.008,0.79574,0.78057,0.88845,0.84267,0.90912,0.93346,0.65293,0.93087,0.64627,0.94968,0.00038218,0.00038218,0.00038218
84,166.874,0.79358,0.77862,0.87878,0.84343,0.91863,0.93971,0.67858,0.8844,0.63225,0.94044,0.000376683,0.000376683,0.000376683
85,168.793,0.76497,0.76561,0.88111,0.82457,0.89484,0.91784,0.68248,0.88189,0.6306,0.9386,0.000371185,0.000371185,0.000371185
